id,CPRO,PROVINCIA,CMUN,NOMBRE,pop
08001,08,Barcelona,001,Abrera,12216
08002,08,Barcelona,002,Aguilar de Segarra,253
08014,08,Barcelona,014,Aiguafreda,2467
08003,08,Barcelona,003,Alella,9632
08004,08,Barcelona,004,Alpens,294
08005,08,Barcelona,005,"Ametlla del Vallès, L'",8337
08006,08,Barcelona,006,Arenys de Mar,15253
08007,08,Barcelona,007,Arenys de Munt,8638
08008,08,Barcelona,008,Argençola,227
08009,08,Barcelona,009,Argentona,12051
08010,08,Barcelona,010,Artés,5596
08011,08,Barcelona,011,Avià,2257
08012,08,Barcelona,012,Avinyó,2212
08013,08,Barcelona,013,Avinyonet del Penedès,1665
08015,08,Barcelona,015,Badalona,215634
08904,08,Barcelona,904,Badia del Vallès,13482
08016,08,Barcelona,016,Bagà,2162
08017,08,Barcelona,017,Balenyà,3705
08018,08,Barcelona,018,Balsareny,3285
08252,08,Barcelona,252,Barberà del Vallès,32832
08019,08,Barcelona,019,Barcelona,1608746
08020,08,Barcelona,020,Begues,6736
08021,08,Barcelona,021,Bellprat,75
08022,08,Barcelona,022,Berga,16175
08023,08,Barcelona,023,Bigues i Riells,8915
08024,08,Barcelona,024,Borredà,495
08025,08,Barcelona,025,"Bruc, El",2014
08026,08,Barcelona,026,"Brull, El",263
08027,08,Barcelona,027,"Cabanyes, Les",943
08028,08,Barcelona,028,Cabrera d'Anoia,1351
08029,08,Barcelona,029,Cabrera de Mar,4553
08030,08,Barcelona,030,Cabrils,7287
08031,08,Barcelona,031,Calaf,3424
08034,08,Barcelona,034,Calders,953
08033,08,Barcelona,033,Caldes de Montbui,17137
08032,08,Barcelona,032,Caldes d'Estrac,2766
08035,08,Barcelona,035,Calella,18317
08037,08,Barcelona,037,Calldetenes,2418
08038,08,Barcelona,038,Callús,2057
08036,08,Barcelona,036,Calonge de Segarra,191
08039,08,Barcelona,039,Campins,470
08040,08,Barcelona,040,Canet de Mar,14284
08041,08,Barcelona,041,Canovelles,15937
08042,08,Barcelona,042,Cànoves i Samalús,2873
08043,08,Barcelona,043,Canyelles,4407
08044,08,Barcelona,044,Capellades,5227
08045,08,Barcelona,045,Capolat,93
08046,08,Barcelona,046,Cardedeu,18158
08047,08,Barcelona,047,Cardona,4775
08048,08,Barcelona,048,Carme,791
08049,08,Barcelona,049,Casserres,1528
08057,08,Barcelona,057,Castell de l'Areny,69
08052,08,Barcelona,052,Castellar de n'Hug,157
08050,08,Barcelona,050,Castellar del Riu,176
08051,08,Barcelona,051,Castellar del Vallès,23633
08053,08,Barcelona,053,Castellbell i el Vilar,3584
08054,08,Barcelona,054,Castellbisbal,12277
08055,08,Barcelona,055,Castellcir,726
08056,08,Barcelona,056,Castelldefels,64892
08058,08,Barcelona,058,Castellet i la Gornal,2193
08060,08,Barcelona,060,Castellfollit de Riubregós,165
08059,08,Barcelona,059,Castellfollit del Boix,448
08061,08,Barcelona,061,Castellgalí,1995
08062,08,Barcelona,062,Castellnou de Bages,1287
08063,08,Barcelona,063,Castellolí,573
08064,08,Barcelona,064,Castellterçol,2351
08065,08,Barcelona,065,Castellví de la Marca,1545
08066,08,Barcelona,066,Castellví de Rosanes,1807
08067,08,Barcelona,067,Centelles,7410
08268,08,Barcelona,268,Cercs,1183
08266,08,Barcelona,266,Cerdanyola del Vallès,57543
08068,08,Barcelona,068,Cervelló,8861
08069,08,Barcelona,069,Collbató,4396
08070,08,Barcelona,070,Collsuspina,349
08071,08,Barcelona,071,Copons,300
08072,08,Barcelona,072,Corbera de Llobregat,14168
08073,08,Barcelona,073,Cornellà de Llobregat,86072
08074,08,Barcelona,074,Cubelles,14608
08075,08,Barcelona,075,Dosrius,5154
08076,08,Barcelona,076,Esparreguera,21766
08077,08,Barcelona,077,Esplugues de Llobregat,45733
08078,08,Barcelona,078,"Espunyola, L'",247
08254,08,Barcelona,254,"Esquirol, L'",2168
08079,08,Barcelona,079,"Estany, L'",404
08134,08,Barcelona,134,Figaró-Montmany,1092
08080,08,Barcelona,080,Fígols,40
08082,08,Barcelona,082,Fogars de la Selva,1452
08081,08,Barcelona,081,Fogars de Montclús,462
08083,08,Barcelona,083,Folgueroles,2298
08084,08,Barcelona,084,Fonollosa,1401
08085,08,Barcelona,085,Font-rubí,1363
08086,08,Barcelona,086,"Franqueses del Vallès, Les",19417
08090,08,Barcelona,090,Gaià,160
08087,08,Barcelona,087,Gallifa,187
08088,08,Barcelona,088,"Garriga, La",15912
08089,08,Barcelona,089,Gavà,46266
08091,08,Barcelona,091,Gelida,7238
08092,08,Barcelona,092,Gironella,4829
08093,08,Barcelona,093,Gisclareny,29
08094,08,Barcelona,094,"Granada, La",2091
08095,08,Barcelona,095,Granera,79
08096,08,Barcelona,096,Granollers,60174
08097,08,Barcelona,097,Gualba,1426
08099,08,Barcelona,099,Guardiola de Berguedà,897
08100,08,Barcelona,100,Gurb,2559
08101,08,Barcelona,101,"Hospitalet de Llobregat, L'",254804
08162,08,Barcelona,162,"Hostalets de Pierola, Els",2891
08102,08,Barcelona,102,Igualada,38987
08103,08,Barcelona,103,Jorba,831
08104,08,Barcelona,104,"Llacuna, La",872
08105,08,Barcelona,105,"Llagosta, La",13247
08107,08,Barcelona,107,Lliçà d'Amunt,14759
08108,08,Barcelona,108,Lliçà de Vall,6370
08106,08,Barcelona,106,Llinars del Vallès,9717
08109,08,Barcelona,109,Lluçà,280
08110,08,Barcelona,110,Malgrat de Mar,18295
08111,08,Barcelona,111,Malla,267
08112,08,Barcelona,112,Manlleu,20104
08113,08,Barcelona,113,Manresa,74752
08242,08,Barcelona,242,Marganell,277
08114,08,Barcelona,114,Martorell,27645
08115,08,Barcelona,115,Martorelles,4725
08116,08,Barcelona,116,"Masies de Roda, Les",714
08117,08,Barcelona,117,"Masies de Voltregà, Les",3170
08118,08,Barcelona,118,"Masnou, El",23119
08119,08,Barcelona,119,Masquefa,8386
08120,08,Barcelona,120,Matadepera,8984
08121,08,Barcelona,121,Mataró,125517
08122,08,Barcelona,122,Mediona,2282
08138,08,Barcelona,138,Moià,5957
08123,08,Barcelona,123,Molins de Rei,25359
08124,08,Barcelona,124,Mollet del Vallès,51491
08128,08,Barcelona,128,Monistrol de Calders,699
08127,08,Barcelona,127,Monistrol de Montserrat,2867
08125,08,Barcelona,125,Montcada i Reixac,34802
08130,08,Barcelona,130,Montclar,119
08131,08,Barcelona,131,Montesquiu,931
08126,08,Barcelona,126,Montgat,11621
08132,08,Barcelona,132,Montmajor,471
08133,08,Barcelona,133,Montmaneu,151
08135,08,Barcelona,135,Montmeló,8784
08136,08,Barcelona,136,Montornès del Vallès,16218
08137,08,Barcelona,137,Montseny,320
08129,08,Barcelona,129,Muntanyola,604
08139,08,Barcelona,139,Mura,219
08140,08,Barcelona,140,Navarcles,5988
08141,08,Barcelona,141,Navàs,6045
08142,08,Barcelona,142,"Nou de Berguedà, La",151
08143,08,Barcelona,143,Òdena,3607
08145,08,Barcelona,145,Olèrdola,3529
08146,08,Barcelona,146,Olesa de Bonesvalls,1723
08147,08,Barcelona,147,Olesa de Montserrat,23645
08148,08,Barcelona,148,Olivella,3569
08149,08,Barcelona,149,Olost,1185
08144,08,Barcelona,144,Olvan,855
08150,08,Barcelona,150,Orís,310
08151,08,Barcelona,151,Oristà,547
08152,08,Barcelona,152,Orpí,139
08153,08,Barcelona,153,Òrrius,702
08154,08,Barcelona,154,Pacs del Penedès,894
08155,08,Barcelona,155,Palafolls,9133
08156,08,Barcelona,156,Palau-solità i Plegamans,14494
08157,08,Barcelona,157,Pallejà,11348
08905,08,Barcelona,905,"Palma de Cervelló, La",3000
08158,08,Barcelona,158,"Papiol, El",4075
08159,08,Barcelona,159,Parets del Vallès,18837
08160,08,Barcelona,160,Perafita,411
08161,08,Barcelona,161,Piera,15001
08163,08,Barcelona,163,Pineda de Mar,26240
08164,08,Barcelona,164,"Pla del Penedès, El",1253
08165,08,Barcelona,165,"Pobla de Claramunt, La",2159
08166,08,Barcelona,166,"Pobla de Lillet, La",1110
08167,08,Barcelona,167,Polinyà,8300
08182,08,Barcelona,182,"Pont de Vilomara i Rocafort, El",3724
08168,08,Barcelona,168,Pontons,453
08169,08,Barcelona,169,"Prat de Llobregat, El",63457
08171,08,Barcelona,171,Prats de Lluçanès,2565
08170,08,Barcelona,170,"Prats de Rei, Els",535
08230,08,Barcelona,230,Premià de Dalt,10446
08172,08,Barcelona,172,Premià de Mar,27866
08174,08,Barcelona,174,Puigdàlber,512
08175,08,Barcelona,175,Puig-reig,4123
08176,08,Barcelona,176,Pujalt,198
08177,08,Barcelona,177,"Quar, La",54
08178,08,Barcelona,178,Rajadell,533
08179,08,Barcelona,179,Rellinars,723
08180,08,Barcelona,180,Ripollet,37648
08181,08,Barcelona,181,"Roca del Vallès, La",10599
08183,08,Barcelona,183,Roda de Ter,6116
08184,08,Barcelona,184,Rubí,75167
08185,08,Barcelona,185,Rubió,231
08901,08,Barcelona,901,Rupit i Pruit,277
08187,08,Barcelona,187,Sabadell,208246
08188,08,Barcelona,188,Sagàs,152
08190,08,Barcelona,190,Saldes,276
08191,08,Barcelona,191,Sallent,6592
08194,08,Barcelona,194,Sant Adrià de Besòs,36496
08195,08,Barcelona,195,Sant Agustí de Lluçanès,92
08196,08,Barcelona,196,Sant Andreu de la Barca,27434
08197,08,Barcelona,197,Sant Andreu de Llavaneres,10663
08198,08,Barcelona,198,Sant Antoni de Vilamajor,5862
08199,08,Barcelona,199,Sant Bartomeu del Grau,850
08200,08,Barcelona,200,Sant Boi de Llobregat,82402
08201,08,Barcelona,201,Sant Boi de Lluçanès,527
08203,08,Barcelona,203,Sant Cebrià de Vallalta,3329
08202,08,Barcelona,202,Sant Celoni,17540
08204,08,Barcelona,204,Sant Climent de Llobregat,4024
08205,08,Barcelona,205,Sant Cugat del Vallès,88921
08206,08,Barcelona,206,Sant Cugat Sesgarrigues,973
08207,08,Barcelona,207,Sant Esteve de Palautordera,2599
08208,08,Barcelona,208,Sant Esteve Sesrovires,7644
08210,08,Barcelona,210,Sant Feliu de Codines,5968
08211,08,Barcelona,211,Sant Feliu de Llobregat,44086
08212,08,Barcelona,212,Sant Feliu Sasserra,612
08209,08,Barcelona,209,Sant Fost de Campsentelles,8650
08213,08,Barcelona,213,Sant Fruitós de Bages,8387
08215,08,Barcelona,215,Sant Hipòlit de Voltregà,3462
08193,08,Barcelona,193,Sant Iscle de Vallalta,1292
08216,08,Barcelona,216,Sant Jaume de Frontanyà,27
08218,08,Barcelona,218,Sant Joan de Vilatorrada,10759
08217,08,Barcelona,217,Sant Joan Despí,33502
08903,08,Barcelona,903,Sant Julià de Cerdanyola,251
08220,08,Barcelona,220,Sant Julià de Vilatorta,3113
08221,08,Barcelona,221,Sant Just Desvern,16927
08222,08,Barcelona,222,Sant Llorenç d'Hortons,2562
08223,08,Barcelona,223,Sant Llorenç Savall,2375
08225,08,Barcelona,225,Sant Martí d'Albars,108
08224,08,Barcelona,224,Sant Martí de Centelles,1122
08226,08,Barcelona,226,Sant Martí de Tous,1190
08227,08,Barcelona,227,Sant Martí Sarroca,3099
08228,08,Barcelona,228,Sant Martí Sesgueioles,371
08229,08,Barcelona,229,Sant Mateu de Bages,618
08231,08,Barcelona,231,Sant Pere de Ribes,29842
08232,08,Barcelona,232,Sant Pere de Riudebitlles,2369
08233,08,Barcelona,233,Sant Pere de Torelló,2427
08234,08,Barcelona,234,Sant Pere de Vilamajor,4257
08189,08,Barcelona,189,Sant Pere Sallavinera,158
08235,08,Barcelona,235,Sant Pol de Mar,4951
08236,08,Barcelona,236,Sant Quintí de Mediona,2121
08237,08,Barcelona,237,Sant Quirze de Besora,2125
08238,08,Barcelona,238,Sant Quirze del Vallès,19664
08239,08,Barcelona,239,Sant Quirze Safaja,637
08240,08,Barcelona,240,Sant Sadurní d'Anoia,12654
08241,08,Barcelona,241,Sant Sadurní d'Osormort,80
08098,08,Barcelona,098,Sant Salvador de Guardiola,3141
08262,08,Barcelona,262,Sant Vicenç de Castellet,9235
08264,08,Barcelona,264,Sant Vicenç de Montalt,6182
08265,08,Barcelona,265,Sant Vicenç de Torelló,1996
08263,08,Barcelona,263,Sant Vicenç dels Horts,27961
08243,08,Barcelona,243,Santa Cecília de Voltregà,183
08244,08,Barcelona,244,Santa Coloma de Cervelló,8073
08245,08,Barcelona,245,Santa Coloma de Gramenet,117153
08246,08,Barcelona,246,Santa Eugènia de Berga,2246
08247,08,Barcelona,247,Santa Eulàlia de Riuprimer,1266
08248,08,Barcelona,248,Santa Eulàlia de Ronçana,7049
08249,08,Barcelona,249,Santa Fe del Penedès,374
08250,08,Barcelona,250,Santa Margarida de Montbui,9611
08251,08,Barcelona,251,Santa Margarida i els Monjos,7360
08253,08,Barcelona,253,Santa Maria de Besora,148
08256,08,Barcelona,256,Santa Maria de Martorelles,861
08255,08,Barcelona,255,Santa Maria de Merlès,178
08257,08,Barcelona,257,Santa Maria de Miralles,132
08259,08,Barcelona,259,Santa Maria de Palautordera,9194
08258,08,Barcelona,258,Santa Maria d'Oló,1054
08260,08,Barcelona,260,Santa Perpètua de Mogoda,25556
08261,08,Barcelona,261,Santa Susanna,3323
08192,08,Barcelona,192,Santpedor,7520
08267,08,Barcelona,267,Sentmenat,8700
08269,08,Barcelona,269,Seva,3446
08270,08,Barcelona,270,Sitges,28478
08271,08,Barcelona,271,Sobremunt,83
08272,08,Barcelona,272,Sora,189
08273,08,Barcelona,273,Subirats,2997
08274,08,Barcelona,274,Súria,5873
08276,08,Barcelona,276,Tagamanent,316
08277,08,Barcelona,277,Talamanca,186
08278,08,Barcelona,278,Taradell,6321
08275,08,Barcelona,275,Tavèrnoles,318
08280,08,Barcelona,280,Tavertet,112
08281,08,Barcelona,281,Teià,6254
08279,08,Barcelona,279,Terrassa,215121
08282,08,Barcelona,282,Tiana,8553
08283,08,Barcelona,283,Tona,7951
08284,08,Barcelona,284,Tordera,16453
08285,08,Barcelona,285,Torelló,13877
08286,08,Barcelona,286,"Torre de Claramunt, La",3722
08287,08,Barcelona,287,Torrelavit,1413
08288,08,Barcelona,288,Torrelles de Foix,2201
08289,08,Barcelona,289,Torrelles de Llobregat,5933
08290,08,Barcelona,290,Ullastrell,2039
08291,08,Barcelona,291,Vacarisses,6192
08292,08,Barcelona,292,Vallbona d'Anoia,1412
08293,08,Barcelona,293,Vallcebre,254
08294,08,Barcelona,294,Vallgorguina,2772
08295,08,Barcelona,295,Vallirana,14676
08296,08,Barcelona,296,Vallromanes,2525
08297,08,Barcelona,297,Veciana,173
08298,08,Barcelona,298,Vic,43287
08299,08,Barcelona,299,Vilada,430
08301,08,Barcelona,301,Viladecans,65779
08300,08,Barcelona,300,Viladecavalls,7354
08305,08,Barcelona,305,Vilafranca del Penedès,39365
08306,08,Barcelona,306,Vilalba Sasserra,684
08303,08,Barcelona,303,Vilanova de Sau,309
08302,08,Barcelona,302,Vilanova del Camí,12409
08902,08,Barcelona,902,Vilanova del Vallès,5217
08307,08,Barcelona,307,Vilanova i la Geltrú,65972
08214,08,Barcelona,214,Vilassar de Dalt,8953
08219,08,Barcelona,219,Vilassar de Mar,20678
08304,08,Barcelona,304,Vilobí del Penedès,1103
08308,08,Barcelona,308,Viver i Serrateix,162
17001,17,Girona,001,Agullana,841
17002,17,Girona,002,Aiguaviva,763
17003,17,Girona,003,Albanyà,147
17004,17,Girona,004,Albons,765
17006,17,Girona,006,Alp,1536
17007,17,Girona,007,Amer,2260
17008,17,Girona,008,Anglès,5473
17009,17,Girona,009,Arbúcies,6380
17010,17,Girona,010,Argelaguer,415
17011,17,Girona,011,"Armentera, L'",935
17012,17,Girona,012,Avinyonet de Puigventós,1587
17015,17,Girona,015,Banyoles,19239
17016,17,Girona,016,Bàscara,980
17013,17,Girona,013,Begur,3957
17018,17,Girona,018,Bellcaire d'Empordà,647
17019,17,Girona,019,Besalú,2438
17020,17,Girona,020,Bescanó,4854
17021,17,Girona,021,Beuda,199
17022,17,Girona,022,"Bisbal d'Empordà, La",10742
17234,17,Girona,234,Biure,233
17023,17,Girona,023,Blanes,39060
17029,17,Girona,029,Boadella i les Escaules,266
17024,17,Girona,024,Bolvir,375
17025,17,Girona,025,Bordils,1680
17026,17,Girona,026,Borrassà,711
17027,17,Girona,027,Breda,3722
17028,17,Girona,028,Brunyola,375
17031,17,Girona,031,Cabanelles,257
17030,17,Girona,030,Cabanes,915
17032,17,Girona,032,Cadaqués,2837
17033,17,Girona,033,Caldes de Malavella,7220
17034,17,Girona,034,Calonge,10709
17035,17,Girona,035,Camós,683
17036,17,Girona,036,Campdevànol,3314
17037,17,Girona,037,Campelles,137
17038,17,Girona,038,Campllong,516
17039,17,Girona,039,Camprodon,2221
17040,17,Girona,040,Canet d'Adri,702
17041,17,Girona,041,Cantallops,317
17042,17,Girona,042,Capmany,596
17044,17,Girona,044,Cassà de la Selva,10025
17046,17,Girona,046,Castellfollit de la Roca,970
17047,17,Girona,047,Castelló d'Empúries,10784
17048,17,Girona,048,Castell-Platja d'Aro,10567
17189,17,Girona,189,"Cellera de Ter, La",2054
17049,17,Girona,049,Celrà,5303
17050,17,Girona,050,Cervià de Ter,916
17051,17,Girona,051,Cistella,293
17054,17,Girona,054,Colera,522
17055,17,Girona,055,Colomers,188
17057,17,Girona,057,Corçà,1249
17056,17,Girona,056,Cornellà del Terri,2279
17058,17,Girona,058,Crespià,267
17901,17,Girona,901,"Cruïlles, Monells i Sant Sadurní de l'Heura",1292
17060,17,Girona,060,Darnius,550
17061,17,Girona,061,Das,215
17062,17,Girona,062,"Escala, L'",10400
17063,17,Girona,063,Espinelves,201
17064,17,Girona,064,Espolla,421
17065,17,Girona,065,Esponellà,456
17005,17,Girona,005,"Far d'Empordà, El",553
17066,17,Girona,066,Figueres,45726
17067,17,Girona,067,Flaçà,1018
17068,17,Girona,068,Foixà,309
17069,17,Girona,069,Fontanals de Cerdanya,446
17070,17,Girona,070,Fontanilles,140
17071,17,Girona,071,Fontcoberta,1471
17902,17,Girona,902,Forallac,1723
17073,17,Girona,073,Fornells de la Selva,2547
17074,17,Girona,074,Fortià,721
17075,17,Girona,075,Garrigàs,435
17076,17,Girona,076,Garrigoles,163
17077,17,Girona,077,Garriguella,854
17078,17,Girona,078,Ger,436
17079,17,Girona,079,Girona,98255
17080,17,Girona,080,Gombrèn,184
17081,17,Girona,081,Gualta,376
17082,17,Girona,082,Guils de Cerdanya,531
17083,17,Girona,083,Hostalric,4058
17084,17,Girona,084,Isòvol,276
17085,17,Girona,085,Jafre,386
17086,17,Girona,086,"Jonquera, La",3231
17087,17,Girona,087,Juià,327
17088,17,Girona,088,Lladó,752
17089,17,Girona,089,Llagostera,8266
17090,17,Girona,090,Llambilles,723
17091,17,Girona,091,Llanars,514
17092,17,Girona,092,Llançà,4934
17093,17,Girona,093,Llers,1210
17094,17,Girona,094,Llívia,1467
17095,17,Girona,095,Lloret de Mar,37042
17096,17,Girona,096,"Llosses, Les",213
17102,17,Girona,102,Maçanet de Cabrenys,740
17103,17,Girona,103,Maçanet de la Selva,6819
17097,17,Girona,097,Madremanya,280
17098,17,Girona,098,Maià de Montcal,433
17100,17,Girona,100,Masarac,289
17101,17,Girona,101,Massanes,742
17099,17,Girona,099,Meranges,99
17105,17,Girona,105,Mieres,317
17106,17,Girona,106,Mollet de Peralada,180
17107,17,Girona,107,Molló,335
17109,17,Girona,109,Montagut i Oix,929
17110,17,Girona,110,Mont-ras,1690
17111,17,Girona,111,Navata,1329
17112,17,Girona,112,Ogassa,225
17114,17,Girona,114,Olot,34000
17115,17,Girona,115,Ordis,377
17116,17,Girona,116,Osor,434
17117,17,Girona,117,Palafrugell,22868
17118,17,Girona,118,Palamós,17677
17119,17,Girona,119,Palau de Santa Eulàlia,90
17121,17,Girona,121,Palau-sator,297
17120,17,Girona,120,Palau-saverdera,1471
17123,17,Girona,123,Palol de Revardit,470
17124,17,Girona,124,Pals,2423
17125,17,Girona,125,Pardines,158
17126,17,Girona,126,Parlavà,392
17128,17,Girona,128,Pau,551
17129,17,Girona,129,Pedret i Marzà,180
17130,17,Girona,130,"Pera, La",441
17132,17,Girona,132,Peralada,1835
17133,17,Girona,133,"Planes d'Hostoles, Les",1662
17134,17,Girona,134,Planoles,299
17135,17,Girona,135,Pont de Molins,517
17136,17,Girona,136,Pontós,234
17137,17,Girona,137,Porqueres,4530
17140,17,Girona,140,"Port de la Selva, El",994
17138,17,Girona,138,Portbou,1170
17139,17,Girona,139,"Preses, Les",1781
17141,17,Girona,141,Puigcerdà,8810
17142,17,Girona,142,Quart,3478
17043,17,Girona,043,Queralbs,174
17143,17,Girona,143,Rabós,188
17144,17,Girona,144,Regencós,279
17145,17,Girona,145,Ribes de Freser,1785
17146,17,Girona,146,Riells i Viabrea,3927
17147,17,Girona,147,Ripoll,10583
17148,17,Girona,148,Riudarenes,2120
17149,17,Girona,149,Riudaura,466
17150,17,Girona,150,Riudellots de la Selva,2024
17151,17,Girona,151,Riumors,255
17152,17,Girona,152,Roses,19438
17153,17,Girona,153,Rupià,253
17154,17,Girona,154,Sales de Llierca,137
17155,17,Girona,155,Salt,29404
17157,17,Girona,157,Sant Andreu Salou,155
17183,17,Girona,183,Sant Aniol de Finestres,371
17158,17,Girona,158,Sant Climent Sescebes,641
17159,17,Girona,159,Sant Feliu de Buixalleu,799
