id,area,pop,density
08270,44.04780,28478,646.524911
08271,13.70394,83,6.05665232
08272,30.90493,189,6.11552914
08273,56.00388,2997,53.5141493
08274,23.64858,5873,248.344720
08275,18.92304,318,16.8049108
08276,43.56803,316,7.25302475
08277,29.34921,186,6.33747893
08278,26.61273,6321,237.517909
08279,70.40443,215121,3055.50375
08280,32.83632,112,3.41085724
08281,6.72863,6254,929.461123
08282,7.94864,8553,1076.03313
08283,16.48205,7951,482.403584
08284,84.79568,16453,194.031111
08285,13.53472,13877,1025.28903
08286,14.96977,3722,248.634414
08287,23.70788,1413,59.6004366
08288,37.25569,2201,59.0782240
08289,13.71410,5933,432.620441
08290,7.41349,2039,275.039151
08291,40.56218,6192,152.654517
08292,6.44171,1412,219.196455
08293,28.09781,254,9.03985043
08294,22.20239,2772,124.851423
08295,23.85301,14676,615.268261
08296,10.62245,2525,237.704107
08297,39.03396,173,4.43203815
08298,30.91791,43287,1400.06229
08299,22.48159,430,19.1267610
08300,20.10986,7354,365.691257
08301,20.25097,65779,3248.19008
08302,10.50126,12409,1181.66772
08303,58.11042,309,5.31746285
08304,9.34871,1103,117.984192
08305,19.94621,39365,1973.55788
08306,5.91823,684,115.575095
08307,34.02451,65972,1938.95518
08308,67.30349,162,2.40700742
08901,48.98991,277,5.65422553
08902,15.54710,5217,335.560972
08903,11.66482,251,21.5176916
08904,0.93364,13482,14440.2553
08905,5.40232,3000,555.316974
17001,27.60327,841,30.4674047
17002,14.01395,763,54.4457487
17003,94.80197,147,1.55060068
17004,11.40874,765,67.0538552
17005,9.19959,553,60.1113745
17006,44.10992,1536,34.8220989
17007,40.18440,2260,56.2407302
17008,16.35708,5473,334.595172
17009,86.34639,6380,73.8884393
17010,12.65018,415,32.8058573
17011,5.77451,935,161.918500
17012,12.46759,1587,127.290037
17013,20.92386,3957,189.114245
17014,4.70174,83,17.6530390
17015,11.03825,19239,1742.93932
17016,17.05044,980,57.4765226
17018,12.55916,647,51.5161842
17019,4.70022,2438,518.699124
17020,36.16441,4854,134.220356
17021,35.98720,199,5.52974390
17022,20.64512,10742,520.316665
17023,17.80285,39060,2194.03073
17024,10.67201,375,35.1386477
17025,7.38671,1680,227.435488
17026,9.50014,711,74.8410023
17027,5.01867,3722,741.630750
17028,36.90564,375,10.1610485
17029,10.89385,266,24.4174465
17030,15.02014,915,60.9182071
17031,55.81050,257,4.60486825
17032,26.63774,2837,106.503029
17033,57.29220,7220,126.020645
17034,33.64289,10709,318.313914
17035,15.59906,683,43.7846895
17036,32.69307,3314,101.367048
17037,18.73427,137,7.31280161
17038,8.50496,516,60.6704793
17039,103.65370,2221,21.4271174
17040,44.71778,702,15.6984537
17041,19.49439,317,16.2610884
17042,26.56178,596,22.4382552
17043,93.42296,174,1.86249718
17044,45.58117,10025,219.937311
17046,0.72740,970,1333.51663
17047,42.35791,10784,254.592353
17048,21.82316,10567,484.210352
17049,19.94745,5303,265.848516
17050,9.98738,916,91.7157452
17051,25.66329,293,11.4170864
17052,10.53420,155,14.7139792
17054,24.25796,522,21.5187097
17055,4.23222,188,44.4211312
17056,27.88870,2279,81.7176849
17057,16.00767,1249,78.0250967
17058,11.33366,267,23.5581445
17060,35.24382,550,15.6055728
17061,14.84987,215,14.4782412
17062,16.31856,10400,637.311135
17063,17.54787,201,11.4543816
17064,43.65025,421,9.64484739
17065,15.80071,456,28.8594626
17066,19.11621,45726,2392.00134
17067,6.72947,1018,151.274914
17068,18.89032,309,16.3575842
17069,28.71655,446,15.5311135
17070,9.39003,140,14.9094305
17071,17.11400,1471,85.9530209
17073,11.74848,2547,216.794002
17074,10.89207,721,66.1949473
17075,19.69105,435,22.0912546
17076,8.95674,163,18.1985856
17077,21.17527,854,40.3300642
17078,32.74099,436,13.3166407
17079,39.11360,98255,2512.04184
17080,43.35536,184,4.24399659
17081,9.11381,376,41.2560718
17082,22.16938,531,23.9519553
17083,3.38730,4058,1198.00431
17084,10.81576,276,25.5183177
17085,6.67184,386,57.8551044
17086,57.33124,3231,56.3567088
17087,8.23768,327,39.6956424
17088,13.66156,752,55.0449582
17089,76.53815,8266,107.998429
17090,14.59940,723,49.5225831
17091,24.42977,514,21.0399033
17092,28.01936,4934,176.092530
17093,21.27970,1210,56.8617038
17094,12.98632,1467,112.965027
17095,48.35769,37042,766.000195
17096,114.66365,213,1.85760700
17097,14.04882,280,19.9304995
17098,17.25697,433,25.0913109
17099,37.62319,99,2.63135582
17100,12.48984,289,23.1388072
17101,25.96780,742,28.5738491
17102,67.62197,740,10.9431890
17103,45.69442,6819,149.230474
17105,26.13036,317,12.1314823
17106,6.10769,180,29.4710438
17107,43.44658,335,7.71061841
17109,93.52324,929,9.93335987
17110,12.32304,1690,137.141484
17111,18.48676,1329,71.8892872
17112,45.46467,225,4.94889768
17114,29.09228,34000,1168.69492
17115,8.48749,377,44.4183144
17116,52.22672,434,8.30992258
17117,26.92087,22868,849.452487
17118,14.09518,17677,1254.11665
17119,8.64967,90,10.4050212
17120,16.54276,1471,88.9210748
17121,12.45061,297,23.8542529
17123,18.09773,470,25.9701078
17124,25.86165,2423,93.6908511
17125,31.46128,158,5.02204614
17126,6.14435,392,63.7984489
17128,10.45611,551,52.6964616
17129,8.64220,180,20.8280298
17130,11.91182,441,37.0220503
17132,43.81601,1835,41.8796690
17133,37.06583,1662,44.8391416
17134,18.78779,299,15.9145913
17135,8.64491,517,59.8039771
17136,13.49363,234,17.3415159
17137,33.78156,4530,134.096826
17138,9.25805,1170,126.376504
17139,9.41209,1781,189.224709
17140,41.76710,994,23.7986357
17141,18.62526,8810,473.013531
17142,38.39783,3478,90.5780352
17143,45.19404,188,4.15984054
17144,6.29540,279,44.3180735
17145,41.91364,1785,42.5875681
17146,27.02314,3927,145.319899
17147,73.77986,10583,143.440228
17148,47.62940,2120,44.5103234
17149,23.57033,466,19.7706184
17150,13.40965,2024,150.936079
17151,6.37006,255,40.0310201
17152,46.07263,19438,421.899075
17153,5.40102,253,46.8430037
17154,35.86727,137,3.81963834
17155,6.46173,29404,4550.48415
17157,5.89235,155,26.3052941
17158,24.41002,641,26.2597081
17159,62.20329,799,12.8449797
17160,15.94388,21760,1364.78699
17161,33.88605,1317,38.8655508
17162,42.37662,231,5.45111903
17163,48.92143,3553,72.6266587
17164,83.83381,5570,66.4409741
17165,6.91470,873,126.252765
17166,11.73402,700,59.6555997
17167,53.79163,3342,62.1286248
17168,3.25935,495,151.870771
17169,18.34456,3455,188.339213
17170,39.03826,200,5.12317915
17171,31.91981,247,7.73814129
17172,43.71470,618,14.1371209
17173,16.78907,250,14.8906401
08154,6.09742,894,146.619389
17174,33.68915,226,6.70839127
17175,3.56019,742,208.415842
17176,7.39834,176,23.7891202
17177,8.83991,670,75.7926268
17178,18.35292,2134,116.275775
17180,70.77399,12583,177.791304
17181,68.02579,5128,75.3831745
17182,1.93684,343,177.092583
17183,47.65617,371,7.78493110
17184,48.67105,1524,31.3122482
17185,32.03406,2906,90.7159442
17186,4.26199,5035,1181.37302
17187,11.52121,842,73.0826015
17188,7.16925,188,26.2231056
17189,14.57393,2054,140.936590
17190,17.23283,1132,65.6885723
17191,8.18750,209,25.5267175
17192,48.95489,181,3.69728131
17193,30.09544,5910,196.375264
17194,50.86610,95,1.86764859
17195,16.77261,451,26.8890768
17196,21.00265,285,13.5697162
17197,7.87604,163,20.6956795
17198,16.97586,711,41.8830032
17199,66.23276,11506,173.720678
17200,11.02617,781,70.8314854
17201,57.77369,166,2.87328020
17202,38.46572,5498,142.932460
17203,4.37811,210,47.9659030
17204,7.32449,1077,147.040954
17205,11.03225,288,26.1052822
17206,17.59341,181,10.2879430
17207,90.76304,2983,32.8658008
17208,93.81160,1266,13.4951327
17209,5.43869,922,169.526117
17210,25.64890,802,31.2683974
17211,9.43252,1150,121.918638
17212,34.54332,176,5.09505166
17213,48.44423,7632,157.541981
17214,2.30696,919,398.359746
17215,6.15091,2636,428.554474
17216,15.63574,224,14.3261527
17217,11.38272,466,40.9392482
17218,62.29764,808,12.9699937
17220,50.81734,1030,20.2686720
17221,8.37696,5466,652.504011
17222,5.83577,156,26.7316909
17223,13.21815,1155,87.3798527
17224,64.77695,400,6.17503602
17225,5.64634,320,56.6738807
17226,8.76950,1121,127.829408
17227,5.33693,202,37.8494752
17228,16.87046,405,24.0064586
17230,6.06200,713,117.617947
17232,16.63599,201,12.0822385
17233,32.49755,3163,97.3304141
17234,10.02368,233,23.2449559
17901,99.89079,1292,12.9341253
17902,50.63619,1723,34.0270466
17903,10.03566,1282,127.744463
25001,78.31411,181,2.31120547
25002,161.30138,602,3.73214413
25003,79.55222,5390,67.7542374
25004,20.43058,799,39.1080429
25005,58.21824,350,6.01186157
25006,26.16277,403,15.4035677
25007,10.76947,2291,212.730988
25008,37.52200,1596,42.5350461
25009,32.76993,803,24.5041719
25010,21.30297,249,11.6885110
25011,114.82539,9297,80.9664134
25012,16.43257,3375,205.384793
25013,11.52584,2923,253.604075
25014,32.16995,326,10.1336806
25015,54.20136,423,7.80423221
25016,50.33277,3006,59.7225227
25017,184.28670,287,1.55735601
25019,48.93803,6800,138.951240
25020,56.59354,327,5.77804463
25021,66.57255,3502,52.6042640
25022,68.81111,125,1.81656712
25023,15.27673,6233,408.006163
25024,217.98595,402,1.84415555
25025,255.39437,1764,6.90696509
25027,23.73614,1335,56.2433487
25029,58.31696,2240,38.4107813
25030,43.40371,165,3.80151834
25031,11.59850,64,5.51795490
25032,10.55137,83,7.86627708
25033,24.06550,1512,62.8285304
08247,14.27231,1266,88.7032302
25034,176.95898,3556,20.0950525
25035,29.72887,462,15.5404494
25036,10.07420,217,21.5401719
25037,104.07619,465,4.46788069
25038,67.25797,2523,37.5122829
25039,128.96473,342,2.65188784
25040,57.25351,16530,288.715923
25041,7.64579,943,123.335848
25042,144.43981,240,1.66159177
25043,220.72927,1022,4.63010637
25044,70.74490,235,3.32179422
25045,17.60570,64,3.63518633
25046,15.83509,539,34.0383288
25047,31.18093,1263,40.5055269
25048,35.12758,2349,66.8705330
25049,4.98806,188,37.6900037
25050,35.18080,5005,142.265099
25051,97.91575,1995,20.3746588
25052,46.79608,2264,48.3801207
25053,7.60183,1482,194.953057
25055,66.15064,187,2.82688119
25056,33.27546,267,8.02393114
25057,21.49278,250,11.6318131
25058,61.75727,6000,97.1545536
25059,27.88131,1123,40.2778779
25060,14.35978,77,5.36219914
25061,79.38524,92,1.15890561
25062,156.81321,879,5.60539510
25063,48.52518,97,1.99896218
25064,60.35237,142,2.35284877
25067,64.42260,958,14.8705578
25068,16.34479,736,45.0296394
25069,52.79493,556,10.5313142
25070,15.88012,1030,64.8609708
25071,41.68781,57,1.36730617
25072,55.16464,9013,163.383645
25073,34.09395,686,20.1208718
25074,16.49713,204,12.3657872
25075,40.72261,141,3.46244997
25076,17.50124,174,9.94215267
25077,153.85804,574,3.73071176
25078,21.37694,1401,65.5379114
25079,39.53274,373,9.43521749
25081,21.48470,375,17.4542814
25082,97.48281,361,3.70321700
25085,21.13842,163,7.71107774
25086,8.56288,789,92.1418961
25087,16.51665,69,4.17760260
25088,21.43350,119,5.55205636
25089,63.45567,126,1.98563816
25092,5.62419,155,27.5595241
25093,5.35940,794,148.150912
25094,28.68871,172,5.99538982
25096,11.17250,1260,112.776907
25097,16.36095,87,5.31753962
25098,90.98785,297,3.26417208
25099,16.81208,1835,109.147708
25100,56.39710,228,4.04276106
25101,86.70021,723,8.33908014
25102,38.49017,977,25.3831043
08009,25.29986,12051,476.326746
25103,24.20389,153,6.32129794
25104,16.43940,147,8.94193218
25105,20.33502,158,7.76984728
25109,25.75669,275,10.6768377
25110,18.20408,6892,378.596446
25111,65.30677,146,2.23560283
25112,27.10306,351,12.9505672
25113,24.25749,1578,65.0520725
25114,15.20410,114,7.49797751
25115,140.50392,1046,7.44463214
25118,77.17952,418,5.41594454
25119,47.40895,3343,70.5141117
25120,212.34198,138144,650.573193
25121,23.38734,958,40.9623326
25122,28.81600,2650,91.9627984
25123,147.00968,226,1.53731373
25124,129.47929,187,1.44424641
25125,66.15707,476,7.19499820
25126,69.10916,355,5.13680096
25127,102.91448,247,2.40005099
25128,40.96273,150,3.66186531
25129,38.93646,203,5.21362239
25130,31.65350,230,7.26617909
25131,13.85227,571,41.2206807
25132,26.38507,203,7.69374498
25133,57.81544,950,16.4315968
25134,20.33490,847,41.6525284
25135,14.92289,1369,91.7382624
25136,26.98898,111,4.11278973
25137,6.95514,14585,2097.01026
25138,29.12957,651,22.3484246
25139,55.15137,547,9.91815797
25140,177.13670,1050,5.92762538
25141,29.52617,188,6.36723286
25142,7.37011,495,67.1631766
25143,11.97787,100,8.34872978
25145,9.68364,100,10.3266953
25146,145.74089,283,1.94180233
25148,114.02894,259,2.27135321
25149,31.88583,1844,57.8313313
25150,86.57678,220,2.54109704
25151,55.24824,929,16.8150152
25152,19.12041,152,7.94962032
25153,11.03141,217,19.6711027
25154,13.05565,137,10.4935411
25155,12.85142,804,62.5611800
25156,135.22285,1022,7.55789424
25157,26.06598,214,8.20993494
25158,12.38388,2153,173.855043
25161,166.00526,439,2.64449451
25163,60.71352,261,4.29887774
25164,25.57925,474,18.5306449
25165,55.74939,344,6.17047110
25166,91.50486,213,2.32774521
25167,104.51341,297,2.84174059
25168,8.87182,655,73.8292706
25169,62.09045,206,3.31774048
25170,17.48133,307,17.5615928
25171,33.42783,2973,88.9378700
25172,30.81609,2638,85.6046305
25173,148.56265,2293,15.4345658
25174,12.37386,741,59.8843044
25175,6.22683,238,38.2216954
25176,21.35969,382,17.8841546
25177,28.79390,448,15.5588510
25179,21.21605,208,9.80389846
25180,9.84548,287,29.1504324
25181,17.05328,237,13.8976196
25182,12.59145,1373,109.042246
25183,62.88306,669,10.6387952
25185,107.07456,962,8.98439367
25186,47.46385,261,5.49892181
25189,9.91409,3029,305.524763
25190,20.70720,340,16.4194096
25191,32.75448,425,12.9753242
25192,25.18851,1059,42.0429791
25193,4.17144,966,231.574708
25194,18.74635,509,27.1519522
25196,93.51382,139,1.48641131
25197,12.34037,170,13.7759240
25200,41.55149,374,9.00088059
25201,87.07475,117,1.34367310
25202,34.76900,133,3.82524662
25203,15.17653,12185,802.884453
25204,86.01036,1912,22.2298802
25205,8.17012,734,89.8395617
25206,12.63485,350,27.7011598
25207,17.87576,8914,498.664112
25208,106.23605,408,3.84050423
25209,105.25690,2145,20.3787115
25210,30.19600,1698,56.2326135
25211,8.27253,867,104.804696
25212,12.68515,350,27.5913174
25215,30.81780,689,22.3572091
25216,30.10187,257,8.53767556
25217,88.13556,16481,186.996032
25218,13.10495,100,7.63070442
25219,7.81991,182,23.2739251
25220,27.64914,1526,55.1915900
25221,8.76862,143,16.3081533
25222,15.58836,73,4.68298140
25223,93.51731,1215,12.9922471
25224,13.27775,149,11.2217807
25225,24.19025,882,36.4609708
25226,27.75260,293,10.5575693
25227,165.72926,748,4.51338526
25228,23.45354,4630,197.411563
25230,40.74679,2166,53.1575616
25231,10.82697,703,64.9304468
25232,50.64746,2253,44.4839681
25233,5.81495,379,65.1768286
25234,302.86403,6026,19.8967173
25238,34.72199,241,6.94084642
25239,169.42333,817,4.82224024
25240,27.15832,1868,68.7818686
25242,35.87972,933,26.0035474
25243,211.30382,5459,25.8348381
